"coalition","slot","assignment"
"MORENA/PT/PVEM",672,"T1"
"MORENA/PT/PVEM",673,"control"
"MORENA/PT/PVEM",674,"T4"
"MORENA/PT/PVEM",675,"T4"
"MORENA/PT/PVEM",676,"control2"
"MORENA/PT/PVEM",677,"T2"
"MORENA/PT/PVEM",678,"T3"
"MORENA/PT/PVEM",679,"T3"
"MORENA/PT/PVEM",680,"control"
"MORENA/PT/PVEM",681,"T2"
"MORENA/PT/PVEM",682,"control"
"MORENA/PT/PVEM",683,"control"
"MORENA/PT/PVEM",684,"T1"
"MORENA/PT/PVEM",685,"control2"
"MORENA/PT/PVEM",686,"T2"
"MORENA/PT/PVEM",687,"T3"
"MORENA/PT/PVEM",688,"T3"
"MORENA/PT/PVEM",689,"T4"
"MORENA/PT/PVEM",690,"T4"
"MORENA/PT/PVEM",691,"T4"
"MORENA/PT/PVEM",692,"T2"
"MORENA/PT/PVEM",693,"T3"
"MORENA/PT/PVEM",694,"control2"
"MORENA/PT/PVEM",695,"T2"
"MORENA/PT/PVEM",696,"T4"
"MORENA/PT/PVEM",697,"control"
"MORENA/PT/PVEM",698,"T3"
"MORENA/PT/PVEM",699,"T1"
"MORENA/PT/PVEM",700,"control"
"MORENA/PT/PVEM",701,"control"
"MORENA/PT/PVEM",702,"T2"
"MORENA/PT/PVEM",703,"T4"
"MORENA/PT/PVEM",704,"control"
"MORENA/PT/PVEM",705,"T3"
"MORENA/PT/PVEM",706,"T4"
"MORENA/PT/PVEM",707,"T3"
"MORENA/PT/PVEM",708,"T1"
"MORENA/PT/PVEM",709,"control2"
"MORENA/PT/PVEM",710,"T2"
"MORENA/PT/PVEM",711,"control"
"MORENA/PT/PVEM",712,"T4"
"MORENA/PT/PVEM",713,"T2"
"MORENA/PT/PVEM",714,"T1"
"MORENA/PT/PVEM",715,"T3"
"MORENA/PT/PVEM",716,"T2"
"MORENA/PT/PVEM",717,"T3"
"MORENA/PT/PVEM",718,"T4"
"MORENA/PT/PVEM",719,"control2"
"MORENA/PT/PVEM",720,"control"
"MORENA/PT/PVEM",721,"control"
"MORENA/PT/PVEM",722,"T4"
"MORENA/PT/PVEM",723,"control2"
"MORENA/PT/PVEM",724,"T4"
"MORENA/PT/PVEM",725,"T1"
"MORENA/PT/PVEM",726,"T3"
"MORENA/PT/PVEM",727,"control"
"MORENA/PT/PVEM",728,"T3"
"MORENA/PT/PVEM",729,"T2"
"MORENA/PT/PVEM",730,"T2"
"MORENA/PT/PVEM",731,"T4"
"MORENA/PT/PVEM",732,"T1"
"MORENA/PT/PVEM",733,"control2"
"MORENA/PT/PVEM",734,"control"
"MORENA/PT/PVEM",735,"T2"
"MORENA/PT/PVEM",736,"T3"
"MORENA/PT/PVEM",737,"control"
"MORENA/PT/PVEM",738,"T3"
"MORENA/PT/PVEM",739,"T4"
"MORENA/PT/PVEM",740,"T2"
"MORENA/PT/PVEM",741,"T1"
"MORENA/PT/PVEM",742,"T2"
"MORENA/PT/PVEM",743,"T3"
"MORENA/PT/PVEM",744,"T4"
"MORENA/PT/PVEM",745,"control2"
"MORENA/PT/PVEM",746,"control"
"MORENA/PT/PVEM",747,"T3"
"MORENA/PT/PVEM",748,"T4"
"MORENA/PT/PVEM",749,"control"
"MORENA/PT/PVEM",750,"T2"
"MORENA/PT/PVEM",751,"T4"
"MORENA/PT/PVEM",752,"control"
"MORENA/PT/PVEM",753,"T2"
"MORENA/PT/PVEM",754,"T4"
"MORENA/PT/PVEM",755,"T2"
"MORENA/PT/PVEM",756,"T1"
"MORENA/PT/PVEM",757,"control2"
"MORENA/PT/PVEM",758,"control"
"MORENA/PT/PVEM",759,"T3"
"MORENA/PT/PVEM",760,"T3"
"MORENA/PT/PVEM",761,"T3"
"MORENA/PT/PVEM",762,"T4"
"MORENA/PT/PVEM",763,"control"
"MORENA/PT/PVEM",764,"control2"
"MORENA/PT/PVEM",765,"control"
"MORENA/PT/PVEM",766,"T4"
"MORENA/PT/PVEM",767,"T3"
"MORENA/PT/PVEM",768,"T2"
"MORENA/PT/PVEM",769,"T2"
"MORENA/PT/PVEM",770,"T1"
"MORENA/PT/PVEM",771,"control2"
"MORENA/PT/PVEM",772,"T3"
"MORENA/PT/PVEM",773,"T3"
"MORENA/PT/PVEM",774,"T4"
"MORENA/PT/PVEM",775,"T4"
"MORENA/PT/PVEM",776,"T2"
"MORENA/PT/PVEM",777,"control"
"MORENA/PT/PVEM",778,"control"
"MORENA/PT/PVEM",779,"T2"
"MORENA/PT/PVEM",780,"T1"
"MORENA/PT/PVEM",781,"T3"
"MORENA/PT/PVEM",782,"T4"
"MORENA/PT/PVEM",783,"T2"
"MORENA/PT/PVEM",784,"T4"
"MORENA/PT/PVEM",785,"T2"
"MORENA/PT/PVEM",786,"control"
"MORENA/PT/PVEM",787,"T3"
"MORENA/PT/PVEM",788,"control2"
"MORENA/PT/PVEM",789,"control"
"MORENA/PT/PVEM",790,"T1"
"MORENA/PT/PVEM",791,"T4"
"MORENA/PT/PVEM",792,"T3"
"MORENA/PT/PVEM",793,"T4"
"MORENA/PT/PVEM",794,"T1"
"MORENA/PT/PVEM",795,"T2"
"MORENA/PT/PVEM",796,"T2"
"MORENA/PT/PVEM",797,"T3"
"MORENA/PT/PVEM",798,"control"
"MORENA/PT/PVEM",799,"control2"
"MORENA/PT/PVEM",800,"control"
"MORENA/PT/PVEM",801,"control"
"MORENA/PT/PVEM",802,"T2"
"MORENA/PT/PVEM",803,"T3"
"MORENA/PT/PVEM",804,"T3"
"MORENA/PT/PVEM",805,"control2"
"MORENA/PT/PVEM",806,"T4"
"MORENA/PT/PVEM",807,"T4"
"MORENA/PT/PVEM",808,"T1"
"MORENA/PT/PVEM",809,"T2"
"MORENA/PT/PVEM",810,"control"
"MORENA/PT/PVEM",811,"control"
"MORENA/PT/PVEM",812,"T1"
"MORENA/PT/PVEM",813,"control2"
"MORENA/PT/PVEM",814,"T3"
"MORENA/PT/PVEM",815,"T2"
"MORENA/PT/PVEM",816,"T4"
"MORENA/PT/PVEM",817,"T2"
"MORENA/PT/PVEM",818,"control"
"MORENA/PT/PVEM",819,"T4"
"MORENA/PT/PVEM",820,"T3"
"MORENA/PT/PVEM",821,"T2"
"MORENA/PT/PVEM",822,"control2"
"MORENA/PT/PVEM",823,"T4"
"MORENA/PT/PVEM",824,"T1"
"MORENA/PT/PVEM",825,"T2"
"MORENA/PT/PVEM",826,"T4"
"MORENA/PT/PVEM",827,"T3"
"MORENA/PT/PVEM",828,"control"
"MORENA/PT/PVEM",829,"control"
"MORENA/PT/PVEM",830,"T3"
"MORENA/PT/PVEM",831,"T4"
"MORENA/PT/PVEM",832,"control2"
"MORENA/PT/PVEM",833,"T3"
"MORENA/PT/PVEM",834,"T3"
"MORENA/PT/PVEM",835,"T2"
"MORENA/PT/PVEM",836,"control"
"MORENA/PT/PVEM",837,"T2"
"MORENA/PT/PVEM",838,"T4"
"MORENA/PT/PVEM",839,"T1"
"MORENA/PT/PVEM",840,"control"
"MORENA/PT/PVEM",841,"T3"
"MORENA/PT/PVEM",842,"T1"
"MORENA/PT/PVEM",843,"control2"
"MORENA/PT/PVEM",844,"T2"
"MORENA/PT/PVEM",845,"control"
"MORENA/PT/PVEM",846,"T4"
"MORENA/PT/PVEM",847,"T4"
"MORENA/PT/PVEM",848,"T3"
"MORENA/PT/PVEM",849,"control"
"MORENA/PT/PVEM",850,"T2"
"MORENA/PT/PVEM",851,"control2"
"MORENA/PT/PVEM",852,"T2"
"MORENA/PT/PVEM",853,"control"
"MORENA/PT/PVEM",854,"T1"
"MORENA/PT/PVEM",855,"T3"
"MORENA/PT/PVEM",856,"T4"
"MORENA/PT/PVEM",857,"T4"
"MORENA/PT/PVEM",858,"T2"
"MORENA/PT/PVEM",859,"T3"
"MORENA/PT/PVEM",860,"control"
"MORENA/PT/PVEM",861,"T3"
"MORENA/PT/PVEM",862,"T3"
"MORENA/PT/PVEM",863,"T2"
"MORENA/PT/PVEM",864,"T2"
"MORENA/PT/PVEM",865,"control"
"MORENA/PT/PVEM",866,"T4"
"MORENA/PT/PVEM",867,"control"
"MORENA/PT/PVEM",868,"control2"
"MORENA/PT/PVEM",869,"T1"
"MORENA/PT/PVEM",870,"T4"
"MORENA/PT/PVEM",871,"T4"
"MORENA/PT/PVEM",872,"control"
"MORENA/PT/PVEM",873,"T1"
"MORENA/PT/PVEM",874,"T4"
"MORENA/PT/PVEM",875,"T3"
"MORENA/PT/PVEM",876,"T2"
"MORENA/PT/PVEM",877,"T2"
"MORENA/PT/PVEM",878,"control2"
"MORENA/PT/PVEM",879,"control"
"MORENA/PT/PVEM",880,"T3"
"MORENA/PT/PVEM",881,"T3"
"MORENA/PT/PVEM",882,"T2"
"MORENA/PT/PVEM",883,"control"
"MORENA/PT/PVEM",884,"T4"
"MORENA/PT/PVEM",885,"T4"
"MORENA/PT/PVEM",886,"T2"
"MORENA/PT/PVEM",887,"T3"
"MORENA/PT/PVEM",888,"T1"
"MORENA/PT/PVEM",889,"control2"
"MORENA/PT/PVEM",890,"control"
"MORENA/PT/PVEM",891,"T1"
"MORENA/PT/PVEM",892,"T4"
"MORENA/PT/PVEM",893,"T2"
"MORENA/PT/PVEM",894,"control2"
"MORENA/PT/PVEM",895,"T3"
"MORENA/PT/PVEM",896,"control"
"MORENA/PT/PVEM",897,"T2"
"MORENA/PT/PVEM",898,"control"
"MORENA/PT/PVEM",899,"T3"
"MORENA/PT/PVEM",900,"T4"
"MORENA/PT/PVEM",901,"control"
"MORENA/PT/PVEM",902,"T2"
"MORENA/PT/PVEM",903,"control"
"MORENA/PT/PVEM",904,"T4"
"MORENA/PT/PVEM",905,"T4"
"MORENA/PT/PVEM",906,"T2"
"MORENA/PT/PVEM",907,"T3"
"MORENA/PT/PVEM",908,"T1"
"MORENA/PT/PVEM",909,"T3"
"MORENA/PT/PVEM",910,"control2"
"MORENA/PT/PVEM",911,"T2"
"MORENA/PT/PVEM",912,"T2"
"MORENA/PT/PVEM",913,"T1"
"MORENA/PT/PVEM",914,"T3"
"MORENA/PT/PVEM",915,"T3"
"MORENA/PT/PVEM",916,"T4"
"MORENA/PT/PVEM",917,"control2"
"MORENA/PT/PVEM",918,"control"
"MORENA/PT/PVEM",919,"control"
"MORENA/PT/PVEM",920,"T4"
"MORENA/PT/PVEM",921,"T4"
"MORENA/PT/PVEM",922,"control"
"MORENA/PT/PVEM",923,"T3"
"MORENA/PT/PVEM",924,"control2"
"MORENA/PT/PVEM",925,"T1"
"MORENA/PT/PVEM",926,"T4"
"MORENA/PT/PVEM",927,"T2"
"MORENA/PT/PVEM",928,"control"
"MORENA/PT/PVEM",929,"T2"
"MORENA/PT/PVEM",930,"T3"
"MORENA/PT/PVEM",931,"control2"
"MORENA/PT/PVEM",932,"T2"
"MORENA/PT/PVEM",933,"control"
"MORENA/PT/PVEM",934,"T2"
"MORENA/PT/PVEM",935,"control"
"MORENA/PT/PVEM",936,"T4"
"MORENA/PT/PVEM",937,"T3"
"MORENA/PT/PVEM",938,"T3"
"MORENA/PT/PVEM",939,"T4"
"MORENA/PT/PVEM",940,"T1"
"MORENA/PT/PVEM",941,"T3"
"MORENA/PT/PVEM",942,"T1"
"MORENA/PT/PVEM",943,"T3"
"MORENA/PT/PVEM",944,"T4"
"MORENA/PT/PVEM",945,"control"
"MORENA/PT/PVEM",946,"control"
"MORENA/PT/PVEM",947,"T4"
"MORENA/PT/PVEM",948,"T2"
"MORENA/PT/PVEM",949,"T2"
"MORENA/PT/PVEM",950,"control2"
"MORENA/PT/PVEM",951,"T2"
"MORENA/PT/PVEM",952,"T3"
"MORENA/PT/PVEM",953,"control"
"MORENA/PT/PVEM",954,"T3"
"MORENA/PT/PVEM",955,"T2"
"MORENA/PT/PVEM",956,"control2"
"MORENA/PT/PVEM",957,"T4"
"MORENA/PT/PVEM",958,"T4"
"MORENA/PT/PVEM",959,"T1"
"MORENA/PT/PVEM",960,"control"
"MORENA/PT/PVEM",961,"T3"
"MORENA/PT/PVEM",962,"control2"
"MORENA/PT/PVEM",963,"T1"
"MORENA/PT/PVEM",964,"T3"
"MORENA/PT/PVEM",965,"control"
"MORENA/PT/PVEM",966,"T2"
"MORENA/PT/PVEM",967,"T4"
"MORENA/PT/PVEM",968,"T4"
"MORENA/PT/PVEM",969,"control"
"MORENA/PT/PVEM",970,"T2"
"MORENA/PT/PVEM",971,"T2"
"MORENA/PT/PVEM",972,"T1"
"MORENA/PT/PVEM",973,"control"
"MORENA/PT/PVEM",974,"control2"
"MORENA/PT/PVEM",975,"control"
"MORENA/PT/PVEM",976,"T2"
"MORENA/PT/PVEM",977,"T3"
"MORENA/PT/PVEM",978,"T3"
"MORENA/PT/PVEM",979,"T4"
"MORENA/PT/PVEM",980,"T4"
"MORENA/PT/PVEM",981,"T2"
"MORENA/PT/PVEM",982,"T2"
"MORENA/PT/PVEM",983,"T4"
"MORENA/PT/PVEM",984,"control2"
"MORENA/PT/PVEM",985,"T3"
"MORENA/PT/PVEM",986,"T1"
"MORENA/PT/PVEM",987,"control"
"MORENA/PT/PVEM",988,"T3"
"MORENA/PT/PVEM",989,"control"
"MORENA/PT/PVEM",990,"T4"
"MORENA/PT/PVEM",991,"T2"
"MORENA/PT/PVEM",992,"T3"
"MORENA/PT/PVEM",993,"T1"
"MORENA/PT/PVEM",994,"control2"
"MORENA/PT/PVEM",995,"T2"
"MORENA/PT/PVEM",996,"control"
"MORENA/PT/PVEM",997,"control"
"MORENA/PT/PVEM",998,"T4"
"MORENA/PT/PVEM",999,"T4"
"MORENA/PT/PVEM",1000,"T3"
"MORENA/PT/PVEM",1001,"T3"
"MORENA/PT/PVEM",1002,"T1"
"MORENA/PT/PVEM",1003,"control"
"MORENA/PT/PVEM",1004,"T4"
"MORENA/PT/PVEM",1005,"control"
"MORENA/PT/PVEM",1006,"T2"
"MORENA/PT/PVEM",1007,"control2"
"MORENA/PT/PVEM",1008,"T2"
"MORENA/PT/PVEM",1009,"T4"
"MORENA/PT/PVEM",1010,"T3"
"MORENA/PT/PVEM",1011,"T4"
"MORENA/PT/PVEM",1012,"T3"
"MORENA/PT/PVEM",1013,"control"
"MORENA/PT/PVEM",1014,"control2"
"MORENA/PT/PVEM",1015,"T3"
"MORENA/PT/PVEM",1016,"T2"
"MORENA/PT/PVEM",1017,"T4"
"MORENA/PT/PVEM",1018,"control"
"MORENA/PT/PVEM",1019,"T1"
"MORENA/PT/PVEM",1020,"T2"
"MORENA/PT/PVEM",1021,"T2"
"MORENA/PT/PVEM",1022,"T4"
"MORENA/PT/PVEM",1023,"T3"
"MORENA/PT/PVEM",1024,"T2"
"MORENA/PT/PVEM",1025,"control"
"MORENA/PT/PVEM",1026,"control2"
"MORENA/PT/PVEM",1027,"T1"
"MORENA/PT/PVEM",1028,"T4"
"MORENA/PT/PVEM",1029,"T3"
"MORENA/PT/PVEM",1030,"control"
"MORENA/PT/PVEM",1031,"T4"
"MORENA/PT/PVEM",1032,"T3"
"MORENA/PT/PVEM",1033,"T3"
"MORENA/PT/PVEM",1034,"control"
"MORENA/PT/PVEM",1035,"T4"
"MORENA/PT/PVEM",1036,"control2"
"MORENA/PT/PVEM",1037,"T1"
"MORENA/PT/PVEM",1038,"T2"
"MORENA/PT/PVEM",1039,"control"
"MORENA/PT/PVEM",1040,"T2"
"MORENA/PT/PVEM",1041,"T4"
"MORENA/PT/PVEM",1042,"control"
"MORENA/PT/PVEM",1043,"T2"
"MORENA/PT/PVEM",1044,"T1"
"MORENA/PT/PVEM",1045,"control2"
"MORENA/PT/PVEM",1046,"T2"
"MORENA/PT/PVEM",1047,"T3"
"MORENA/PT/PVEM",1048,"T4"
"MORENA/PT/PVEM",1049,"T3"
"MORENA/PT/PVEM",1050,"control"
"MORENA/PT/PVEM",1051,"control"
"MORENA/PT/PVEM",1052,"T4"
"MORENA/PT/PVEM",1053,"T4"
"MORENA/PT/PVEM",1054,"control2"
"MORENA/PT/PVEM",1055,"control"
"MORENA/PT/PVEM",1056,"T1"
"MORENA/PT/PVEM",1057,"T2"
"MORENA/PT/PVEM",1058,"T3"
"MORENA/PT/PVEM",1059,"T2"
"MORENA/PT/PVEM",1060,"T3"
"MORENA/PT/PVEM",1061,"control"
"MORENA/PT/PVEM",1062,"T3"
"MORENA/PT/PVEM",1063,"T4"
"MORENA/PT/PVEM",1064,"T3"
"MORENA/PT/PVEM",1065,"T4"
"MORENA/PT/PVEM",1066,"control"
"MORENA/PT/PVEM",1067,"T2"
"MORENA/PT/PVEM",1068,"T2"
"MORENA/PT/PVEM",1069,"control2"
"MORENA/PT/PVEM",1070,"T1"
"MORENA/PT/PVEM",1071,"T4"
"MORENA/PT/PVEM",1072,"T2"
"MORENA/PT/PVEM",1073,"T2"
"MORENA/PT/PVEM",1074,"control"
"MORENA/PT/PVEM",1075,"control2"
"MORENA/PT/PVEM",1076,"T1"
"MORENA/PT/PVEM",1077,"T4"
"MORENA/PT/PVEM",1078,"T3"
"MORENA/PT/PVEM",1079,"T3"
"MORENA/PT/PVEM",1080,"control"
"MORENA/PT/PVEM",1081,"T2"
"MORENA/PT/PVEM",1082,"control"
"MORENA/PT/PVEM",1083,"T4"
"MORENA/PT/PVEM",1084,"T4"
"MORENA/PT/PVEM",1085,"T2"
"MORENA/PT/PVEM",1086,"T3"
"MORENA/PT/PVEM",1087,"T3"
"MORENA/PT/PVEM",1088,"control"
"MORENA/PT/PVEM",1089,"T1"
"MORENA/PT/PVEM",1090,"control2"
"MORENA/PT/PVEM",1091,"control"
"MORENA/PT/PVEM",1092,"T4"
"MORENA/PT/PVEM",1093,"T2"
"MORENA/PT/PVEM",1094,"T3"
"MORENA/PT/PVEM",1095,"T1"
"MORENA/PT/PVEM",1096,"control2"
"MORENA/PT/PVEM",1097,"T2"
"MORENA/PT/PVEM",1098,"T4"
"MORENA/PT/PVEM",1099,"control"
"MORENA/PT/PVEM",1100,"T3"
"MORENA/PT/PVEM",1101,"control"
"MORENA/PT/PVEM",1102,"T2"
"MORENA/PT/PVEM",1103,"T2"
"MORENA/PT/PVEM",1104,"control"
"MORENA/PT/PVEM",1105,"T3"
"MORENA/PT/PVEM",1106,"T4"
"MORENA/PT/PVEM",1107,"control2"
"MORENA/PT/PVEM",1108,"T1"
"MORENA/PT/PVEM",1109,"T4"
"MORENA/PT/PVEM",1110,"T3"
"MORENA/PT/PVEM",1111,"control"
"MORENA/PT/PVEM",1112,"T3"
"MORENA/PT/PVEM",1113,"control2"
"MORENA/PT/PVEM",1114,"T4"
"MORENA/PT/PVEM",1115,"T2"
"MORENA/PT/PVEM",1116,"T1"
"MORENA/PT/PVEM",1117,"T3"
"MORENA/PT/PVEM",1118,"T4"
"MORENA/PT/PVEM",1119,"T2"
"MORENA/PT/PVEM",1120,"control"
"MORENA/PT/PVEM",1121,"T2"
"MORENA/PT/PVEM",1122,"control2"
"MORENA/PT/PVEM",1123,"T3"
"MORENA/PT/PVEM",1124,"T1"
"MORENA/PT/PVEM",1125,"control"
"MORENA/PT/PVEM",1126,"control"
"MORENA/PT/PVEM",1127,"T3"
"MORENA/PT/PVEM",1128,"T2"
"MORENA/PT/PVEM",1129,"T4"
"MORENA/PT/PVEM",1130,"T4"
"MORENA/PT/PVEM",1131,"T3"
"MORENA/PT/PVEM",1132,"T1"
"MORENA/PT/PVEM",1133,"control"
"MORENA/PT/PVEM",1134,"control"
"MORENA/PT/PVEM",1135,"T3"
"MORENA/PT/PVEM",1136,"T4"
"MORENA/PT/PVEM",1137,"T2"
"MORENA/PT/PVEM",1138,"control2"
"MORENA/PT/PVEM",1139,"T2"
"MORENA/PT/PVEM",1140,"T4"
"MORENA/PT/PVEM",1141,"T2"
"MORENA/PT/PVEM",1142,"T2"
"MORENA/PT/PVEM",1143,"T4"
"MORENA/PT/PVEM",1144,"control"
"MORENA/PT/PVEM",1145,"T1"
"MORENA/PT/PVEM",1146,"T4"
"MORENA/PT/PVEM",1147,"T3"
"MORENA/PT/PVEM",1148,"control2"
"MORENA/PT/PVEM",1149,"T3"
"MORENA/PT/PVEM",1150,"control"
"MORENA/PT/PVEM",1151,"control2"
"MORENA/PT/PVEM",1152,"T3"
"MORENA/PT/PVEM",1153,"T2"
"MORENA/PT/PVEM",1154,"T1"
"MORENA/PT/PVEM",1155,"T4"
"MORENA/PT/PVEM",1156,"T3"
"MORENA/PT/PVEM",1157,"control"
"MORENA/PT/PVEM",1158,"control"
"MORENA/PT/PVEM",1159,"T2"
"MORENA/PT/PVEM",1160,"T4"
"MORENA/PT/PVEM",1161,"T3"
"MORENA/PT/PVEM",1162,"control"
"MORENA/PT/PVEM",1163,"T1"
"MORENA/PT/PVEM",1164,"T3"
"MORENA/PT/PVEM",1165,"T2"
"MORENA/PT/PVEM",1166,"T2"
"MORENA/PT/PVEM",1167,"T4"
"MORENA/PT/PVEM",1168,"control"
"MORENA/PT/PVEM",1169,"T4"
"MORENA/PT/PVEM",1170,"control2"
"MORENA/PT/PVEM",1171,"control"
"MORENA/PT/PVEM",1172,"T3"
"MORENA/PT/PVEM",1173,"T4"
"MORENA/PT/PVEM",1174,"T1"
"MORENA/PT/PVEM",1175,"control"
"MORENA/PT/PVEM",1176,"T4"
"MORENA/PT/PVEM",1177,"T2"
"MORENA/PT/PVEM",1178,"control2"
"MORENA/PT/PVEM",1179,"T3"
"MORENA/PT/PVEM",1180,"T2"
"MORENA/PT/PVEM",1181,"T4"
"MORENA/PT/PVEM",1182,"control"
"MORENA/PT/PVEM",1183,"T2"
"MORENA/PT/PVEM",1184,"control2"
"MORENA/PT/PVEM",1185,"T1"
"MORENA/PT/PVEM",1186,"T3"
"MORENA/PT/PVEM",1187,"T4"
"MORENA/PT/PVEM",1188,"control"
"MORENA/PT/PVEM",1189,"T2"
"MORENA/PT/PVEM",1190,"T3"
"MORENA/PT/PVEM",1191,"T2"
"MORENA/PT/PVEM",1192,"control2"
"MORENA/PT/PVEM",1193,"T4"
"MORENA/PT/PVEM",1194,"T3"
"MORENA/PT/PVEM",1195,"control"
"MORENA/PT/PVEM",1196,"T4"
"MORENA/PT/PVEM",1197,"T1"
"MORENA/PT/PVEM",1198,"T2"
"MORENA/PT/PVEM",1199,"T3"
"MORENA/PT/PVEM",1200,"control"
"MORENA/PT/PVEM",1201,"control"
"MORENA/PT/PVEM",1202,"control2"
"MORENA/PT/PVEM",1203,"control"
"MORENA/PT/PVEM",1204,"T4"
"MORENA/PT/PVEM",1205,"T1"
"MORENA/PT/PVEM",1206,"T4"
"MORENA/PT/PVEM",1207,"T2"
"MORENA/PT/PVEM",1208,"T3"
"MORENA/PT/PVEM",1209,"T2"
"MORENA/PT/PVEM",1210,"T3"
"MORENA/PT/PVEM",1211,"T2"
"MORENA/PT/PVEM",1212,"T4"
"MORENA/PT/PVEM",1213,"control2"
"MORENA/PT/PVEM",1214,"control"
"MORENA/PT/PVEM",1215,"T4"
"MORENA/PT/PVEM",1216,"T3"
"MORENA/PT/PVEM",1217,"T1"
"MORENA/PT/PVEM",1218,"control"
"MORENA/PT/PVEM",1219,"T3"
"MORENA/PT/PVEM",1220,"T2"
"MORENA/PT/PVEM",1221,"control"
"MORENA/PT/PVEM",1222,"T2"
"MORENA/PT/PVEM",1223,"T4"
"MORENA/PT/PVEM",1224,"T4"
"MORENA/PT/PVEM",1225,"T1"
"MORENA/PT/PVEM",1226,"T3"
"MORENA/PT/PVEM",1227,"control"
"MORENA/PT/PVEM",1228,"T3"
"MORENA/PT/PVEM",1229,"control2"
"MORENA/PT/PVEM",1230,"T2"
"MORENA/PT/PVEM",1231,"T3"
"MORENA/PT/PVEM",1232,"T4"
"MORENA/PT/PVEM",1233,"T3"
"MORENA/PT/PVEM",1234,"control2"
"MORENA/PT/PVEM",1235,"T4"
"MORENA/PT/PVEM",1236,"T2"
"MORENA/PT/PVEM",1237,"T2"
"MORENA/PT/PVEM",1238,"control"
"MORENA/PT/PVEM",1239,"control"
"MORENA/PT/PVEM",1240,"T1"
"MORENA/PT/PVEM",1241,"T4"
"MORENA/PT/PVEM",1242,"T4"
"MORENA/PT/PVEM",1243,"T2"
"MORENA/PT/PVEM",1244,"T3"
"MORENA/PT/PVEM",1245,"T3"
"MORENA/PT/PVEM",1246,"control2"
"MORENA/PT/PVEM",1247,"control"
"MORENA/PT/PVEM",1248,"control"
"MORENA/PT/PVEM",1249,"T2"
"MORENA/PT/PVEM",1250,"T1"
"MORENA/PT/PVEM",1251,"control2"
"MORENA/PT/PVEM",1252,"T2"
"MORENA/PT/PVEM",1253,"T1"
"MORENA/PT/PVEM",1254,"control"
"MORENA/PT/PVEM",1255,"control"
"MORENA/PT/PVEM",1256,"T2"
"MORENA/PT/PVEM",1257,"T3"
"MORENA/PT/PVEM",1258,"T4"
"MORENA/PT/PVEM",1259,"T3"
"MORENA/PT/PVEM",1260,"T4"
"MORENA/PT/PVEM",1261,"T3"
"MORENA/PT/PVEM",1262,"T2"
"MORENA/PT/PVEM",1263,"T4"
"MORENA/PT/PVEM",1264,"control2"
"MORENA/PT/PVEM",1265,"T3"
"MORENA/PT/PVEM",1266,"T1"
"MORENA/PT/PVEM",1267,"control"
"MORENA/PT/PVEM",1268,"T4"
"MORENA/PT/PVEM",1269,"control"
"MORENA/PT/PVEM",1270,"T2"
"MORENA/PT/PVEM",1271,"T2"
"MORENA/PT/PVEM",1272,"T3"
"MORENA/PT/PVEM",1273,"control"
"MORENA/PT/PVEM",1274,"control2"
"MORENA/PT/PVEM",1275,"T1"
"MORENA/PT/PVEM",1276,"T3"
"MORENA/PT/PVEM",1277,"T2"
"MORENA/PT/PVEM",1278,"T4"
"MORENA/PT/PVEM",1279,"T4"
"MORENA/PT/PVEM",1280,"control"
"MORENA/PT/PVEM",1281,"T4"
"MORENA/PT/PVEM",1282,"T2"
"MORENA/PT/PVEM",1283,"control"
"MORENA/PT/PVEM",1284,"T3"
"MORENA/PT/PVEM",1285,"T2"
"MORENA/PT/PVEM",1286,"T4"
"MORENA/PT/PVEM",1287,"T1"
"MORENA/PT/PVEM",1288,"control"
"MORENA/PT/PVEM",1289,"T3"
"MORENA/PT/PVEM",1290,"control2"
"MORENA/PT/PVEM",1291,"T3"
"MORENA/PT/PVEM",1292,"T1"
"MORENA/PT/PVEM",1293,"T4"
"MORENA/PT/PVEM",1294,"T4"
"MORENA/PT/PVEM",1295,"T3"
"MORENA/PT/PVEM",1296,"T2"
"MORENA/PT/PVEM",1297,"control"
"MORENA/PT/PVEM",1298,"control"
"MORENA/PT/PVEM",1299,"control2"
"MORENA/PT/PVEM",1300,"T2"
"MORENA/PT/PVEM",1301,"control2"
"MORENA/PT/PVEM",1302,"control"
"MORENA/PT/PVEM",1303,"T2"
"MORENA/PT/PVEM",1304,"T4"
"MORENA/PT/PVEM",1305,"control"
"MORENA/PT/PVEM",1306,"T1"
"MORENA/PT/PVEM",1307,"T3"
"MORENA/PT/PVEM",1308,"T2"
"MORENA/PT/PVEM",1309,"T3"
"MORENA/PT/PVEM",1310,"T4"
"MORENA/PT/PVEM",1311,"T4"
"MORENA/PT/PVEM",1312,"T2"
"MORENA/PT/PVEM",1313,"control"
"MORENA/PT/PVEM",1314,"control2"
"MORENA/PT/PVEM",1315,"T1"
"MORENA/PT/PVEM",1316,"T3"
"MORENA/PT/PVEM",1317,"control"
"MORENA/PT/PVEM",1318,"T2"
"MORENA/PT/PVEM",1319,"T4"
"MORENA/PT/PVEM",1320,"T3"
"MORENA/PT/PVEM",1321,"T4"
"MORENA/PT/PVEM",1322,"T3"
"MORENA/PT/PVEM",1323,"T3"
"MORENA/PT/PVEM",1324,"control"
"MORENA/PT/PVEM",1325,"control2"
"MORENA/PT/PVEM",1326,"control"
"MORENA/PT/PVEM",1327,"T2"
